"chapter","question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"HW7","According to Equation 9-2, what is the activation function φ applied to in a fully connected perceptron layer?","The weight matrix W and bias vector b only","The weighted sum of inputs plus a bias term for each instance","The input matrix X directly and weight matrix w only","The product of the input matrix and the weight matrix without bias","The bias vector b and inputs X only","The weighted sum of inputs plus a bias term for each instance","The activation function φ is applied to XW + b — the dot product of the input matrix and weight matrix, plus a bias vector — producing the output of the layer."
"HW7","In the context of the logical computations shown in Figure 9-3, what happens in the fourth network if neuron A is always active?","Neuron C performs a logical NOT operation on neuron B","Neuron C performs a logical OR operation on neuron B","Neuron C performs a logical AND operation on neuron B","Neuron C performs an XOR operation on neuron B","Neuron C remains inactive regardless of neuron B's state","Neuron C performs a logical NOT operation on neuron B","With neuron A always firing, its inhibitory connection to C dominates when B is active. When B is inactive, C fires. This inverts B's state, implementing the logical NOT operation."
"HW7","What distinguishes a threshold logic unit (TLU) in a perceptron from logistic regression?","TLU uses a softmax function for binary classification","TLU has no bias term, unlike logistic regression","TLU uses a logistic function, while logistic regression uses a step function","TLU is trained using backpropagation, while logistic regression is not","TLU applies a step function to a linear combination of inputs, while logistic regression uses a sigmoid function","TLU applies a step function to a linear combination of inputs, while logistic regression uses a sigmoid function","A TLU computes a weighted sum of inputs and applies a step (Heaviside) function, producing binary 0/1 output. Logistic regression uses a sigmoid function, producing continuous probabilities."
"HW7","In the context of backpropagation, what is the specific consequence of initializing all weights and biases to zero?","The model will fail to train and will immediately output a zero error.","The model will converge faster to a solution.","All neurons in a given layer will remain identical and learn the same thing, making the model ineffective.","The model will be unable to use the ReLU activation function.","The random state will be fixed, leading to reproducible results.","All neurons in a given layer will remain identical and learn the same thing, making the model ineffective.","If all weights are zero, every neuron in a layer computes the same output and receives the same gradient — they never differentiate. This symmetry breaking failure means the network cannot learn."
"HW7","How does unsupervised pretraining help when labeled data is scarce?","It reduces the number of hidden layers needed","It eliminates the need for backpropagation","It trains lower layers to learn useful features from unlabeled data","It replaces supervised learning entirely","It guarantees convergence to the global minimum","It trains lower layers to learn useful features from unlabeled data","Unsupervised pretraining (e.g., with autoencoders or RBMs) uses abundant unlabeled data to learn good lower-layer representations, giving supervised fine-tuning a much better starting point."
"HW7","Why do convolutional layers use shared weights within a feature map?","To reduce computational complexity and enable feature detection across locations","To ensure all neurons have unique weights","To prevent the use of activation functions","To eliminate the need for bias terms","To increase the number of parameters","To reduce computational complexity and enable feature detection across locations","Weight sharing means one filter is applied across all spatial locations, dramatically reducing parameters and allowing the same feature detector (e.g., an edge) to be found anywhere in the image."
"HW7","Why is dropout effective in preventing overfitting in deep neural networks?","It eliminates the need for activation functions","It forces neurons to be less reliant on specific inputs, improving generalization","It ensures all neurons have identical weights","It removes neurons permanently during training","It reduces the learning rate automatically","It forces neurons to be less reliant on specific inputs, improving generalization","Dropout randomly deactivates neurons during training, preventing any neuron from co-adapting too strongly with others. Each neuron must learn robust features independently, improving generalization."
"HW7","Why does the ReLU activation function sometimes lead to 'dying ReLUs'?","It outputs negative values for positive inputs","It requires a high learning rate","Its input can become negative, causing neurons to output zero permanently","It saturates for small input values","Its derivative is nonzero for all inputs","Its input can become negative, causing neurons to output zero permanently","If a neuron's weighted input is consistently negative (e.g., after a large gradient update), ReLU outputs zero and has zero gradient — the neuron stops learning entirely and effectively dies."
"HW7","What is the primary purpose of a max pooling layer in a CNN?","To increase the spatial dimensions of feature maps","To reduce computational load and introduce translation invariance","To apply nonlinear activation functions","To learn new filters during training","To compute the weighted sum of inputs","To reduce computational load and introduce translation invariance","Max pooling downsamples feature maps by taking the maximum value in each pooling window, reducing spatial size (and thus computation) while making the representation robust to small translations."
"HW7","What is the primary reason for including non-linear activation functions such as ReLU or sigmoid between the layers of a deep neural network?","To speed up the convergence of the gradient descent algorithm.","To allow the network to approximate any continuous function by introducing non-linearity.","To ensure that the output of each neuron is within a specific range.","To prevent the model from overfitting the training data.","To increase the number of parameters and allow for more complex models.","To allow the network to approximate any continuous function by introducing non-linearity.","Without non-linear activations, stacking linear layers collapses to a single linear transformation. Non-linearity (via the universal approximation theorem) lets MLPs approximate any continuous function."
"HW7","What is the effect of using a stride greater than 1 in a convolutional layer?","It ensures translation invariance","It eliminates the need for pooling layers","It reduces the spatial dimensions of the output feature maps","It increases the number of parameters","It increases the number of feature maps","It reduces the spatial dimensions of the output feature maps","A stride of s > 1 means the filter moves s pixels at a time instead of 1, so the output feature map is approximately 1/s the size of the input in each spatial dimension."
"HW8","How does a Stateful RNN optimize efficiency during the processing of a real-time live audio stream?","It uses a causal mask to prevent the model from looking into the future.","It applies a bidirectional layer to analyze the stream from both ends.","It preserves context without re-processing history for every new point.","It reduces the dimensionality of the input via subword tokenization.","All of the Above.","It preserves context without re-processing history for every new point.","A Stateful RNN carries its hidden state forward between batches, so it never needs to re-process past audio — it simply continues from where it left off, preserving context efficiently."
"HW8","In the Vision Transformer (ViT), how is an input image converted into tokens?","By dividing it into patches and treating them as sequence tokens.","By using an RNN to generate a descriptive caption of the image.","By passing it through a hybrid CNN-Transformer hybrid like DETR.","By calculating the dot product of every pixel with a learned Query.","All of the Above.","By dividing it into patches and treating them as sequence tokens.","ViT splits the image into fixed-size patches (e.g., 16×16 pixels), flattens each patch, and linearly projects them into embeddings that serve as sequence tokens for the Transformer."
"HW8","In BERT pretraining, why are 10% of targeted words replaced with a random word instead of a [MASK] token?","To mitigate the discrepancy between pretraining and fine-tuning.","To make the training vocabulary appear larger than it actually is.","To bias the model toward predicting sentiment rather than syntax.","To help the model learn the distillation token from a teacher CNN.","All of the Above.","To mitigate the discrepancy between pretraining and fine-tuning.","During fine-tuning, [MASK] tokens never appear, creating a mismatch. Using some random words forces the model to maintain a useful contextual representation for every token, not just masked ones."
"HW8","What is the specific role of the Distillation Token [DST] in the DeiT (Data-Efficient Image Transformer) model?","It identifies the spatial boundaries of the 16x16 image patches.","It acts as a causal mask to prevent the student seeing the image.","It is used to calculate the BLEU score for image caption tasks.","It allows the student to learn from soft targets of a teacher.","All of the Above.","It allows the student to learn from soft targets of a teacher.","The [DST] token attends to the teacher model's (usually a CNN's) output distribution, allowing the student Transformer to learn richer representations via knowledge distillation."
"HW8","Why does GPT-1 use the final token's embedding for classification, while BERT uses the first [CLS] token?","BERT's first token is always a TL;DR summary of the document.","The [CLS] token in GPT-1 is reserved for the positional embeddings.","BERT is naturally autoregressive and processes tokens right-to-left.","GPT-1 is causal and only the last token has seen the entire context.","All of the Above.","GPT-1 is causal and only the last token has seen the entire context.","GPT-1 uses causal (left-to-right) attention, so only the final token's representation has attended to all preceding tokens. BERT is bidirectional, so the special [CLS] token aggregates full context from all positions."
"HW8","What is the technical purpose of the scaling factor 1/sqrt(d_k) in Scaled Dot-Product Attention?","To prevent large dot products from causing tiny gradients in softmax.","To normalize the length of sequences within a single training batch.","To ensure that the Query and Key matrices have compatible dimensions.","To allow the model to use relative bias instead of absolute indices.","All of the Above.","To prevent large dot products from causing tiny gradients in softmax.","When d_k is large, dot products grow in magnitude, pushing softmax into regions with extremely small gradients. Dividing by sqrt(d_k) keeps dot products in a stable range for training."
"HW8","What is the primary advantage of Nucleus Sampling over a fixed Top-k Sampling strategy?","It is computationally less expensive than a standard Top-k search.","It guarantees that the word Paris will be chosen in translation.","It requires a much larger vocabulary to reach peak performance levels.","It is dynamic; the bucket size changes based on model confidence.","All of the Above.","It is dynamic; the bucket size changes based on model confidence.","Top-k always samples from exactly k tokens regardless of the distribution shape. Nucleus (Top-p) sampling dynamically selects the smallest set of tokens whose cumulative probability exceeds p, adapting to model confidence."
"HW8","What emergent property was observed during the self-supervised training of the DINO model?","Its attention maps naturally learned to segment main objects.","It learned to translate English to Spanish without any text data.","It achieved 1.6 trillion parameters using only one standard GPU.","It replaced positional encodings by using a momentum teacher.","All of the Above.","Its attention maps naturally learned to segment main objects.","Despite receiving no segmentation supervision, DINO's self-attention heads spontaneously learned to highlight foreground objects, producing high-quality unsupervised semantic segmentation maps."
"HW8","Why are Bidirectional RNNs generally avoided in the decoder section of a Neural Machine Translation (NMT) model?","They require double the memory of a standard unidirectional encoder.","A decoder must be causal; looking at the future tokens is cheating.","Bidirectional layers are only compatible with character-level RNNs.","They prevent the model from using the Teacher Forcing technique.","All of the Above.","A decoder must be causal; looking at the future tokens is cheating.","At inference time, the decoder generates tokens one at a time left-to-right. Future tokens do not yet exist, so a bidirectional decoder would be looking at information it cannot have, violating causality."
"HW8","In text generation, what is the primary technical effect of applying a high temperature to the softmax layer?","It encourages the model to select characters with the highest logits.","It scales down gradients to prevent the vanishing gradient problem.","It forces the model to ignore the padding tokens in the input batch.","It flattens the distribution to encourage more creative diversity.","None of the Above.","It flattens the distribution to encourage more creative diversity.","Temperature T divides the logits before softmax. A high T (>1) flattens the probability distribution, making lower-probability tokens more likely to be sampled, increasing diversity and creativity."
"HW8","Why does the original ViT require much larger datasets (300M+ images) than a standard CNN to reach peak accuracy?","Transformers have too many attention heads for small datasets.","Patch embeddings are too sparse to be optimized by standard SGD.","Transformers lack the built-in inductive biases found in CNNs.","It must learn to ignore the [CLS] token during the pretraining.","All of the Above.","Transformers lack the built-in inductive biases found in CNNs.","CNNs have translation equivariance and locality baked in as inductive biases. Transformers must learn these spatial relationships entirely from data, requiring much more data to converge to competitive performance."
"HW8","How do next-generation positional methods like RoPE and ALiBi improve upon absolute positional indexing?","They reduce the quadratic complexity of attention to linear time.","They allow the model to use Greedy search instead of Beam search.","They eliminate the need for an attention mask during inference.","They offer better extrapolation for sequences longer than training.","All of the Above.","They offer better extrapolation for sequences longer than training.","Absolute positional encodings are fixed at training length. RoPE encodes positions via rotations in complex space, and ALiBi adds a linear bias based on distance — both generalize more smoothly to longer sequences."
"HW8","How does Beam Search address the chain of errors problem often found in Greedy Search?","It uses a bidirectional decoder to revise mistakes made in the past.","It scales every logit by a temperature of 0.01 to ensure precision.","It forces the model to attend to the positional encodings of tokens.","It tracks k promising paths to allow the model to outgrow errors.","All of the Above.","It tracks k promising paths to allow the model to outgrow errors.","Greedy search commits to one token at a time and cannot recover from early mistakes. Beam search maintains k candidate sequences simultaneously, allowing a suboptimal early choice to be overtaken by a better overall path."
"HW8","In an NLP pipeline, which statement best characterizes the functional difference between tokenization and embedding?","Tokenization is a continuous process; embedding is a discrete mapping.","Tokenization is identification; embedding assigns semantic meaning.","Tokenization requires gradient descent; embedding is always a lookup.","Embedding breaks strings into units; tokenization assigns 3D vectors.","None of the Above.","Tokenization is identification; embedding assigns semantic meaning.","Tokenization converts raw text into discrete integer IDs — it is a rule-based lookup. Embedding then maps each ID to a dense learned vector that encodes semantic and syntactic relationships in continuous space."
"HW8","The Pyramid Vision Transformer (PVT) addresses the computational cost of tiny patches through:","Window-based Multi-Head Self-Attention (W-MSA) mechanisms.","Spatial Reduction Attention (SRA) to reduce Key/Value size.","Masked Multi-Head Attention to ensure the model is causal.","Replacing the Transformer encoder with a two-layer GRU block.","All of the Above.","Spatial Reduction Attention (SRA) to reduce Key/Value size.","SRA downsamples the Key and Value feature maps by a reduction factor R before computing attention, dramatically cutting the quadratic cost that would arise from attending over all fine-grained patch positions."
"HW8","Which of the following best describes the Transformer Paradox mentioned in the lecture material?","Transformers are faster than RNNs but cannot handle sequences.","They process all tokens in sequence and cannot process them in parallel.","They use attention to focus on words but attention is redundant.","The encoder is bidirectional but the decoder is purely causal.","None of the Above.","None of the Above.","The Transformer Paradox refers to the tension between the model's global attention capability (seeing everything) and its need for positional encodings to distinguish order — powerful yet position-blind without explicit encoding."
"HW8","What does the vector arithmetic King minus Man plus Woman equals Queen imply about the nature of the embedding space?","Semantic concepts are encoded as meaningful axes in the manifold.","Word embeddings are noisy and hard to interpret without fine-tuning.","Gender bias is a solved problem within the Transformer architecture.","Linear layers are equivalent to one-hot encoding in deep networks.","All of the Above.","Semantic concepts are encoded as meaningful axes in the manifold.","This classic Word2Vec result shows that gender, royalty, and other semantic relationships correspond to consistent linear directions in the embedding manifold, enabling algebraic manipulation of meaning."
"HW8","Following the rule of thumb, what is the suggested embedding dimension for a 1600-category feature?","40 (The dimension should be the square root of the category count).","128 (The dimension must be a power of two for memory alignment).","512 (This is the standardized dimension for all Transformer layers).","1600 (Dimension must equal the total number of distinct categories).","None of the Above.","40 (The dimension should be the square root of the category count).","A common heuristic is to set the embedding dimension to the square root of the vocabulary/category size. For 1600 categories, sqrt(1600) = 40, providing a compact yet expressive representation."
"HW8","In the search engine analogy for attention, which component represents what information do I actually provide?","The Query (Q).","The Key (K).","The Value (V).","The Alignment model.","All of the Above.","The Value (V).","In the search analogy: Query = what I am looking for, Key = what each document advertises, Value = the actual content retrieved. The Value is the information that gets aggregated into the output."
"HW8","Why is one-hot encoding considered computationally impractical for modern LLMs with large vocabularies?","The vectors are too dense for efficient matrix multiplication on a GPU.","It forces the model to use dot-product attention instead of additive.","The linear scaling of dimensionality leads to extreme vector sparsity.","It prevents the use of the Teacher Forcing technique during training.","All of the Above.","The linear scaling of dimensionality leads to extreme vector sparsity.","A vocabulary of 50,000 tokens requires 50,000-dimensional one-hot vectors where 49,999 entries are zero. This extreme sparsity wastes memory and compute; dense learned embeddings are far more efficient."
"HW8","Which Transformer variant is the gold standard for Natural Language Understanding (NLU) due to its bidirectionality?","GPT-1.","GPT-3.","BERT.","Mistral-7B.","None of the Above.","BERT.","BERT's bidirectional encoder reads the entire input simultaneously in both directions, giving each token full context. This makes it ideal for NLU tasks like classification, NER, and question answering."
"HW8","What does the Teacher Forcing technique involve during the training phase of an Encoder-Decoder model?","Penalizing the model when attention weights are distributed sparsely.","Giving the decoder the ground-truth token from the previous step.","Using a frozen BERT model to guide a student GRU through training.","Shifting the input sequence by two steps to prevent model overfitting.","None of the Above.","Giving the decoder the ground-truth token from the previous step.","Without Teacher Forcing, early training errors compound as the decoder feeds its own (wrong) predictions back in. Teacher Forcing injects the correct ground-truth token at each step, stabilizing and accelerating training."
"HW8","What is the primary purpose of Shifted Window MSA (SW-MSA) in the Swin Transformer architecture?","To reduce the number of windows used in Level 1 of the pyramid.","To wrap image borders to prevent unrelated patches from talking.","To allow patches in separate windows to interact and share info.","To calculate the mean representation per class for classification.","All of the Above.","To allow patches in separate windows to interact and share info.","Standard W-MSA confines attention within fixed windows, preventing cross-window communication. SW-MSA shifts the window grid by half a window size each layer, creating new windows that bridge adjacent original windows."
"HW8","What was the major empirical finding demonstrated by the release of GPT-2 in 2019?","Transformers can only be trained on human-labeled image datasets.","Models can perform tasks Zero-Shot via natural language prompts.","Causal masking is redundant if a model exceeds 100 billion weights.","The square root rule for embeddings is invalid for subword tokens.","None of the Above.","Models can perform tasks Zero-Shot via natural language prompts.","GPT-2 demonstrated that a large language model trained on diverse web text could perform translation, summarization, and QA without any task-specific fine-tuning, purely by conditioning on a natural language prompt."
"HW8","Why are Positional Encodings strictly required in Transformers but not in Recurrent Neural Networks?","Transformers use subword tokenization which is position-blind.","Transformers process tokens in parallel and lack an inherent order.","RNNs use hidden states that are updated via the dot-product logic.","Encodings are required to calculate cross-entropy for long sequences.","All of the Above.","Transformers process tokens in parallel and lack an inherent order.","RNNs process tokens sequentially — the hidden state at step t is computed from step t-1, giving the network an inherent sense of order. Transformers attend to all tokens simultaneously, so position must be injected explicitly."
"HW9","Mode collapse in GAN training is specifically characterized by a failure where:","The generator's outputs lack diversity and cycle across a few classes.","The discriminator becomes too powerful and rejects every single image.","The latent space variables become highly correlated with the input noise.","The model requires an infinite number of timesteps to remove image noise.","None of the Above.","The generator's outputs lack diversity and cycle across a few classes.","Mode collapse occurs when the generator finds a small set of outputs that reliably fool the discriminator and repeatedly produces only those, sacrificing diversity across the full data distribution."
"HW9","Unsupervised pretraining with autoencoders is most useful when a researcher:","Has infinite labeled data.","Has abundant unlabeled data but limited labeled data.","Avoids convolutional layers.","Performs PCA on linear data.","All of the Above.","Has abundant unlabeled data but limited labeled data.","Autoencoders learn meaningful feature representations from unlabeled data. When labeled data is scarce, these pretrained representations give a supervised fine-tuning step a much better starting point."
"HW9","How does mini-batch discrimination address mode collapse?","It forces the discriminator to look at one image at a time.","It uses a replay buffer of past generated images.","It allows the discriminator to reject batches lacking diversity.","It increases generator depth.","All of the Above.","It allows the discriminator to reject batches lacking diversity.","Mini-batch discrimination gives the discriminator access to statistics computed across a batch, allowing it to detect when all samples look similar and penalize the generator for lacking diversity."
"HW9","Why is the reparameterization trick a fundamental requirement for training standard Variational Autoencoders?","It makes the stochastic sampling operation differentiable for training.","It allows the latent space to have a much higher dimension than the input.","It replaces the categorical distribution with a standard U-Net architecture.","It ensures the encoder can handle discrete tokens like those in a transformer.","All of the Above.","It makes the stochastic sampling operation differentiable for training.","Sampling from a distribution is not differentiable, blocking backpropagation. The reparameterization trick rewrites z = mu + sigma * epsilon (where epsilon ~ N(0,1)), making the randomness a fixed input so gradients can flow through mu and sigma."
"HW9","Which statement best describes the adversarial training phase of a GAN's generator network?","The generator is updated to maximize the reconstruction loss of real data.","The generator must process real training images to learn salient features.","The generator receives gradients flowing back through the discriminator.","The generator weights are frozen while the discriminator learns fakes.","None of the Above.","The generator receives gradients flowing back through the discriminator.","During generator training, the discriminator weights are frozen. The generator produces fake images, the discriminator scores them, and the error gradient flows back through the discriminator into the generator, teaching it to produce more convincing fakes."
"HW9","In a CycleGAN, domain translation without paired data is achieved by:","Training a single discriminator for both domains.","Using a transformer to predict next pixels.","Learning a transformation that can be reversed back to the original image.","Applying Gaussian noise to all inputs.","None of the Above.","Learning a transformation that can be reversed back to the original image.","CycleGAN enforces a cycle-consistency loss: translating an image from domain A to B and then back to A should recover the original. This constraint lets the model learn meaningful mappings without paired training examples."
"HW9","Progressive growing of GANs is a training technique where the architecture:","Adds new neurons to the latent coding vector every 10 training epochs.","Switches from an autoencoder to a diffusion model after the first phase.","Gradually adds convolutional layers to produce higher-resolution images.","Uses a U-Net to predict noise at increasingly larger temporal timesteps.","All of the Above.","Gradually adds convolutional layers to produce higher-resolution images.","Progressive GAN starts training at a low resolution (e.g., 4x4) and incrementally adds new layers to both the generator and discriminator as training stabilizes, enabling high-fidelity image generation by learning coarse-to-fine structure."
"HW9","How does the Denoising Diffusion Implicit Model (DDIM) accelerate the generation process?","It replaces the U-Net with a shallow linear autoencoder to save time.","It trains a separate GAN to predict the final image in a single pass.","It makes the process non-Markovian to skip multiple noise timesteps.","It reduces the image resolution to 4x4 pixels during reverse steps.","None of the Above.","It makes the process non-Markovian to skip multiple noise timesteps.","Standard DDPM requires T sequential denoising steps. DDIM redefines the reverse process as non-Markovian, allowing the model to jump over many timesteps and generate images in as few as 10-50 steps with minimal quality loss."
"HW9","During the first phase of a GAN training iteration, the primary goal is to:","Train the discriminator to distinguish real from generated images.","Update the generator to fool the discriminator.","Fine-tune the mapping network using out-of-distribution data.","Minimize KL divergence between data and latent space.","None of the Above.","Train the discriminator to distinguish real from generated images.","GAN training alternates between two phases. In phase one the generator is frozen and the discriminator is trained on both real images (label=1) and fake images from the generator (label=0), improving its ability to detect fakes."
"HW9","What is the purpose of context embeddings in modern diffusion pipelines?","Enable controlled generation via text or labels.","Define the noise variance schedule.","Identify anomalous pixels.","Replace the encoder entirely.","None of the Above.","Enable controlled generation via text or labels.","Context embeddings (e.g., CLIP text encodings) are injected into the U-Net via cross-attention, steering the denoising process toward a specific concept, style, or description provided by the user."
"HW9","In DDIM, a key hyperparameter allows the user to:","Adjust convolutional filter counts.","Control whether the reverse process is deterministic or stochastic.","Set anomaly detection thresholds.","Change VQ-VAE codebook resolution.","None of the Above.","Control whether the reverse process is deterministic or stochastic.","DDIM introduces a parameter eta that interpolates between a fully deterministic reverse process (eta=0, enabling latent space interpolation and inversion) and the fully stochastic DDPM process (eta=1)."
"HW9","In the diffusion reverse process, why is the operation considered stochastic in a standard DDPM?","The model uses a random seed to decide which image patches to denoise.","The reverse step includes an added noise term scaled by the variance.","The U-Net weights are randomly re-initialized at every timestep.","It relies on a discriminator that randomly accepts or rejects denoising.","All of the Above.","The reverse step includes an added noise term scaled by the variance.","At each reverse timestep t, DDPM predicts the mean of the previous step but then adds Gaussian noise scaled by a variance term. This injected randomness is what makes DDPM a stochastic sampler and allows diverse generation."
"HW9","Sparse autoencoders use a sparsity loss term to ensure that in the coding layer:","Every single neuron is activated for every possible input image sample.","The weights of the network are forced to have a mean value of exactly zero.","Each input is represented by a large number of highly inactive neurons.","The dimensionality of the hidden state is decreased to become undercomplete.","None of the Above.","None of the Above.","Sparse autoencoders can be overcomplete (more hidden units than inputs) but use a sparsity penalty (e.g., L1 or KL divergence from a low activation target) to ensure only a small fraction of neurons activate for any given input."
"HW9","StyleGANs introduce stochasticity such as hair or freckles into generated images by:","Directly interpolating between two different real images in pixel space.","Forcing the mapping network to dedicate coding power to random details.","Using a discriminator that can only see fine details of image patches.","Adding independent noise inputs to each layer of the generator.","None of the Above.","Adding independent noise inputs to each layer of the generator.","StyleGAN injects per-layer noise as an additive term after each convolution. This allows the model to produce natural stochastic variation in fine-grained details (hair strands, skin texture) independently of the overall style."
"HW9","Why does a denoising autoencoder (DAE) typically require less latent compression than a standard undercomplete autoencoder?","Gaussian noise removes the need for any hidden layers in the architecture.","DAEs utilize a specialized Huber loss that ignores coding layer sparsity.","The added noise already makes the input reconstruction task non-trivial.","The dropout layers in DAEs automatically perform dimensionality reduction.","All of the Above.","The added noise already makes the input reconstruction task non-trivial.","In a standard autoencoder the bottleneck forces compression. In a DAE the challenge comes from reconstructing a clean signal from a corrupted input, so the network learns robust features even without an aggressively narrow bottleneck."
"HW9","Diffusion models like Stable Diffusion achieve high efficiency by:","Eliminating the denoising process entirely to use greedy layer-wise training.","Training the U-Net on raw pixel data using a very high learning rate.","Performing the diffusion process within a compressed latent space.","Replacing the VAE encoder with a frozen discriminator from a StyleGAN.","All of the Above.","Performing the diffusion process within a compressed latent space.","Latent Diffusion Models (LDMs) first encode images into a lower-dimensional latent space using a VAE, then run the full forward and reverse diffusion there. This cuts memory and compute dramatically compared to pixel-space diffusion."
