course_num,chapter,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explaination
8520,1,"According to the historical timeline, what was the significance of the 2012 ImageNet competition?",It introduced the Perceptron algorithm.,"AlexNet drastically reduced the top-5 error rate, proving the viability of deep CNNs.",It proved that SVMs were vastly superior to neural networks for image tasks.,It marked the start of the first AI Winter.,none of the above,B,AlexNet's success in 2012 by reducing error from 25.8% to 15.3% was the watershed moment that popularized deep learning.
8520,1,"In a supervised learning setup, what exactly does the training process attempt to minimize?",The complexity of the data representations.,"The prediction error, as measured by a specific loss function.",The number of parameters inside the neural network.,The learning rate during backpropagation.,none of the above,B,"Training uses an optimizer to adjust weights in order to minimize the loss function, which quantifies the error between predictions and true labels."
8520,1,Which of the following is currently considered a known limitation or challenge of deep learning?,It typically requires massive amounts of data.,It struggles with reliable factual accuracy (hallucinations).,It lacks clear mechanistic interpretability (opaque weights).,It generally lacks true causal reasoning capabilities.,all of the above,E,"Deep learning models are notoriously data-hungry, opaque, prone to hallucination, and rely on correlation rather than causation."
8520,1,What was the critical limitation of Frank Rosenblatt's Perceptron (1957) that contributed to the first AI winter?,It required specialized GPU hardware to function.,It could only learn linearly separable decision boundaries (failing on XOR).,It relied exclusively on backpropagation.,It generated completely unintelligible representations.,none of the above,B,"Minsky and Papert pointed out that single-layer perceptrons could not solve non-linear problems like XOR, severely limiting their use."
8520,1,What architectural breakthrough in 2017 eventually ended the era of task-specific RNN/LSTM pipelines in natural language processing?,Deep Belief Networks,The Transformer,The Perceptron,Random Forests,none of the above,B,"The Transformer replaced recurrence with self-attention, allowing for massive parallelization and better handling of long-range dependencies."
8520,1,"Which scaling law observation (Hoffmann et al., 2022) refined how to allocate compute by suggesting models need roughly 20 training tokens per parameter?",Moore's Law,The Chinchilla-optimal scaling laws,The Double Descent threshold,Vaswani's Attention theorem,none of the above,B,"The Chinchilla paper showed that many early LLMs were undertrained, and that optimal performance requires balancing model size and dataset size."
8520,1,What does 'in-context learning' (popularized by GPT-3) demonstrate?,"Models can perform new tasks by being given a few prompt examples, without any gradient weight updates.",Models must be fine-tuned via backpropagation for every specific user query.,Models require structured tabular databases to fetch answers.,Models dynamically resize their layers based on the context length.,none of the above,A,In-context learning allows large models to recognize patterns provided directly in the prompt and complete the task without changing their internal weights.
8520,1,Which of the following is a classic machine learning algorithm that heavily relies on hand-crafted feature engineering?,Support Vector Machines,Logistic Regression,Random Forests,Decision Trees,all of the above,E,"Prior to deep learning, virtually all classical machine learning models (SVMs, trees, forests) required engineers to manually extract useful features from raw data."
8520,1,What algorithm physically updates the network's weights during training by stepping in the opposite direction of the loss gradient?,Support Vector Machine,Gradient Descent,Principal Component Analysis,K-Means Clustering,none of the above,B,Gradient descent minimizes the loss by continuously updating parameters in the opposite direction of the gradient of the loss function.
8520,1,Why are mini-batches used in stochastic gradient descent (SGD)?,To fully utilize GPU parallelization.,To stabilize gradient estimates by averaging over a batch.,To introduce noise that acts as an implicit regularizer.,To fit the data subset within the hardware memory limits.,all of the above,E,"Mini-batch SGD satisfies memory constraints, leverages parallel GPU matrix processing, stabilizes gradients, and provides beneficial noise for better generalization."
8520,1,"Which architectural addition solved the vanishing gradient problem enough to allow training of networks over 100 layers deep (e.g., ResNet)?",Sigmoid activations,Residual connections,Recurrent loops,Self-attention heads,none of the above,B,"Residual (or skip) connections provide 'gradient highways' that allow error signals to flow back unchanged, mitigating vanishing gradients."
8520,1,Which of the following is considered an 'emergent capability' observed in scaled-up large language models?,Multi-step arithmetic,Chain-of-thought reasoning,Instruction following without explicit tuning,Cross-lingual transfer learning,all of the above,E,Emergent capabilities are behaviors (like reasoning and multi-step logic) that smaller models fail at but suddenly appear once the model reaches a certain scale.
8520,1,How does Retrieval-Augmented Generation (RAG) address the hallucination problem in LLMs?,By rewriting the model's loss function at runtime.,By retrieving relevant external documents and appending them to the prompt context for grounded generation.,By explicitly deleting incorrect weights from the neural network.,By relying strictly on symbolic logic engines.,none of the above,B,"RAG reduces hallucination by pulling factual, relevant information from an external database and giving it to the LLM to base its answer upon."
8520,1,What key mechanism does the Transformer use to map dependencies between words regardless of their distance in a sequence?,Recurrence,Self-attention,Max-pooling,Kernel tricks,none of the above,B,"Self-attention computes dynamic weights between all pairs of words in the context window simultaneously, overcoming the sequential bottlenecks of RNNs."
8520,1,What alignment technique was famously used to transform GPT-3 into ChatGPT by penalizing undesirable outputs and rewarding helpful ones?,Reinforcement Learning from Human Feedback (RLHF),Unsupervised pre-training,Feature engineering,Generative adversarial training,none of the above,A,"RLHF uses human preference data to train a reward model, which then fine-tunes the LLM using proximal policy optimization to follow human instructions safely."
8520,1,Which concept challenges the classical bias-variance tradeoff by showing that highly overparameterized models can decrease test error again past the interpolation threshold?,The Vanishing Gradient Problem,Double Descent,The Curse of Dimensionality,No Free Lunch Theorem,none of the above,B,Double Descent is a modern phenomenon where overparameterized deep networks achieve better generalization after initially suffering from overfitting.
8520,1,"In contrast to deep learning, what was the primary bottleneck for building classical machine learning applications?",Writing custom backpropagation code.,Hand-crafting feature engineering for every specific dataset.,Managing massive GPU clusters.,Finding the global minimum of non-convex functions.,none of the above,B,Classical ML relies heavily on the quality of input features. Experts had to spend immense time designing features before applying algorithms like SVMs or trees.
8520,1,What is the primary characteristic of a 'foundation model'?,It is an extremely small model meant only for edge devices.,It is a rule-based expert system.,It is trained broadly on a massive scale and can be adapted to a wide variety of downstream tasks.,It only accepts numerical tabular data as input.,none of the above,C,Foundation models (like GPT-4 or LLaMA) are pre-trained on vast generalized corpora and can be prompted or fine-tuned for many specific applications.
8520,1,"According to the history of ML, what is the primary reason deep networks 'won' over Kernel methods (like SVMs) on complex perceptual tasks?",SVMs required too much GPU memory.,"Deep networks learn hierarchical representations directly from raw data, bypassing manual feature engineering.",Deep networks are fully mathematically convex and easier to guarantee.,Kernel methods could not process text data under any circumstances.,none of the above,B,"Kernel methods struggled with high-dimensional perceptual data (images, audio) because they relied on fixed kernels, whereas deep learning automatically learns hierarchical, task-specific features."
8520,1,What is meant by 'pre-train and fine-tune' paradigm that took over deep learning?,Training a model solely on labels and then throwing it away.,"Using self-supervised learning on a massive corpus first, then specializing the model on a small labeled dataset.","Manually programming rules first, then applying machine learning.",Training multiple small models and averaging their outputs.,none of the above,B,"The pre-training phase builds general representations from massive unlabeled data. Fine-tuning adjusts those representations to a specific, smaller downstream task."
